Traona comune,Traona comune.1
,
Traona – Veduta,Traona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Maurizio Papini (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,46°09′N 9°31′E
Altitudine,252 m s.l.m.
Superficie,"6,37 km²"
Abitanti,2 910[1] (30-11-2025)
Densità,"456,83 ab./km²"
Frazioni,"Traona, Valletta, Pianezzo, Bioggio, Moncucco alto, Moncucco basso"
Comuni confinanti,"Cercino, Civo, Cosio Valtellino, Mello, Morbegno, Novate Mezzola"
Altre informazioni,Altre informazioni
Cod. postale,23019
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014069
Cod. catastale,L330
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 427 GG[3]"
Nome abitanti,traonesi
Patrono,"sant'Alessandro di Bergamo, san Luigi Guanella"
Giorno festivo,26 agosto
Cartografia,Cartografia
Traona,Traona
Traona – MappaPosizione del comune di Traona nella provincia di Sondrio,Traona – MappaPosizione del comune di Traona nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
