San Giacomo Filippo comune,San Giacomo Filippo comune.1
,
San Giacomo Filippo – Veduta,San Giacomo Filippo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Severino De Stefani (lista civica) dal 31-5-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,46°20′N 9°22′E
Altitudine,522 m s.l.m.
Superficie,"61,85 km²"
Abitanti,368[1] (30-11-2025)
Densità,"5,95 ab./km²"
Frazioni,"Cimaganda, Gallivaggio, Lirone, Olmo, San Bernardo, Sommarovina, Vho"
Comuni confinanti,"Campodolcino, Chiavenna, Gordona, Mese, Mesocco (CH-GR), Piuro, Soazza (CH-GR)"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014058
Cod. catastale,H868
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 001 GG[3]"
Nome abitanti,filippesi
Patrono,san Giacomo il Minore e Filippo apostolo
Giorno festivo,3 maggio
Cartografia,Cartografia
San Giacomo Filippo,San Giacomo Filippo
San Giacomo Filippo – MappaPosizione del comune di San Giacomo Filippo nella provincia di Sondrio,San Giacomo Filippo – MappaPosizione del comune di San Giacomo Filippo nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
