Mantello comune,Mantello comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Giacomo Bonetti (lista civica) dal 15-5-2011 (3º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,46°09′N 9°29′E
Altitudine,211 m s.l.m.
Superficie,"3,78 km²"
Abitanti,748[1] (30-11-2025)
Densità,"197,88 ab./km²"
Comuni confinanti,"Andalo Valtellino, Cercino, Cino, Cosio Valtellino, Dubino, Rogolo"
Altre informazioni,Altre informazioni
Cod. postale,23016
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014039
Cod. catastale,E896
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 369 GG[3]"
Nome abitanti,mantellesi
Patrono,san Marco
Giorno festivo,25 aprile
Cartografia,Cartografia
Mantello,Mantello
Mantello – MappaPosizione del comune di Mantello nella provincia di Sondrio,Mantello – MappaPosizione del comune di Mantello nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
