Chiavenna comune,Chiavenna comune.1
,
Chiavenna – Veduta,Chiavenna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Luca Della Bitta (centro-destra) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°19′N 9°24′E
Altitudine,333 m s.l.m.
Superficie,"10,77 km²"
Abitanti,7 278[1] (30-11-2025)
Densità,"675,77 ab./km²"
Frazioni,"Bette, Campedello, Loreto, Pianazzola"
Sottodivisioni ulteriori,San Carlo
Comuni confinanti,"Mese, Piuro, Prata Camportaccio, San Giacomo Filippo"
Altre informazioni,Altre informazioni
Cod. postale,23022
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014018
Cod. catastale,C623
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 426 GG[3]"
Nome abitanti,chiavennaschi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Chiavenna,Chiavenna
Chiavenna – MappaPosizione del comune di Chiavenna nella provincia di Sondrio,Chiavenna – MappaPosizione del comune di Chiavenna nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
