Valdidentro comune,Valdidentro comune.1
,
"Valdidentro – VedutaLa frazione di ""Pian del Vino"" (frazione di Isolaccia) e Pedenosso (in primo piano) viste dall'alto.","Valdidentro – VedutaLa frazione di ""Pian del Vino"" (frazione di Isolaccia) e Pedenosso (in primo piano) viste dall'alto."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Massimiliano Trabucchi (lista civica Valdidentro Venti27) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,46°29′20.79″N 10°17′42.54″E
Altitudine,1 350 m s.l.m.
Superficie,"226,73[1] km²"
Abitanti,4 116[2] (30-11-2025)
Densità,"18,15 ab./km²"
Frazioni,"Isolaccia (sede comunale), Pedenosso, Premadio, Semogo[3]"
Comuni confinanti,"Bormio, Grosio, Livigno, Poschiavo (CH-GR), Valdisotto, Val Müstair (CH-GR), Zernez (CH-GR)"
Altre informazioni,Altre informazioni
Cod. postale,23038
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014071
Cod. catastale,L557
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 987 GG[5]"
Nome abitanti,"penèglia (per Premadio),pedenòser (per Pedenosso),cózin (per Isolaccia)semoghin (per Semogo)"
Cartografia,Cartografia
Valdidentro,Valdidentro
Valdidentro – MappaPosizione del comune di Valdidentro nella provincia di Sondrio,Valdidentro – MappaPosizione del comune di Valdidentro nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
