Rasura comune,Rasura comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Diego Rava (lista civica) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,46°06′N 9°33′E
Altitudine,880 m s.l.m.
Superficie,6 km²
Abitanti,276[1] (30-11-2025)
Densità,46 ab./km²
Comuni confinanti,"Bema, Cosio Valtellino, Pedesina, Rogolo"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014055
Cod. catastale,H192
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 206 GG[3]"
Nome abitanti,bàcer
Patrono,san Giacomo Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
Rasura,Rasura
Rasura – MappaPosizione del comune di Rasura nella provincia di Sondrio,Rasura – MappaPosizione del comune di Rasura nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
