Caspoggio comune,Caspoggio comune.1
,
Caspoggio – Veduta,Caspoggio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Arif Negrini (lista civica Ricominciamo insieme) dal 9-6-2024
Territorio,Territorio
Coordinate,46°16′N 9°52′E
Altitudine,1 098 m s.l.m.
Superficie,"7,31 km²"
Abitanti,1 321[1] (30-11-2025)
Densità,"180,71 ab./km²"
Frazioni,"Santa Elisabetta, Albertazzi"
Comuni confinanti,"Chiesa in Valmalenco, Lanzada, Torre di Santa Maria, Montagna in Valtellina"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014013
Cod. catastale,B993
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 629 GG[3]"
Nome abitanti,caspoggini
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Caspoggio,Caspoggio
Caspoggio – MappaPosizione del comune di Caspoggio nella provincia di Sondrio,Caspoggio – MappaPosizione del comune di Caspoggio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
