Samolaco comune,Samolaco comune.1
,
Samolaco – Veduta,Samolaco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Livio Aurelio Scaramella (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,46°16′N 9°23′E
Altitudine,236 m s.l.m.
Superficie,"45,8 km²"
Abitanti,2 880[1] (30-11-2025)
Densità,"62,88 ab./km²"
Frazioni,"Era, Casenda, San Pietro, Somaggia, Ponte Nave, Bedogna, Giumellasco, Paiedo, Vigazzolo, Schenone, Nogaredo Località: Giumello, Ronco, Basone, Navan, Rugiolo, Cesura, Fontanedo, Montenuovo (e numerose località in montagna e mezza montagna)"
Comuni confinanti,"Gordona, Livo (CO), Montemezzo (CO), Novate Mezzola, Prata Camportaccio, Sorico (CO), Vercana (CO)"
Altre informazioni,Altre informazioni
Cod. postale,23027
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014057
Cod. catastale,H752
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 372 GG[3]"
Nome abitanti,"samolachesi, samolich"
Patrono,"sant'Andrea, san Pietro, san Giovanni Nepomuceno, san Francesco"
Cartografia,Cartografia
Samolaco,Samolaco
Samolaco – MappaPosizione del comune di Samolaco nella provincia di Sondrio,Samolaco – MappaPosizione del comune di Samolaco nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
