Mello comune,Mello comune.1
,
Mello – VedutaChiesa di San Fedele,Mello – VedutaChiesa di San Fedele
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Marco Scamoni (lista civica Insieme per crescere) dal 3-10-2021
Territorio,Territorio
Coordinate,46°09′N 9°33′E
Altitudine,681 m s.l.m.
Superficie,"11,43 km²"
Abitanti,949[1] (30-11-2025)
Densità,"83,03 ab./km²"
Comuni confinanti,"Civo, Novate Mezzola, Traona"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014041
Cod. catastale,F115
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 037 GG[3]"
Nome abitanti,mellati (Melat)
Patrono,san Fedele di Como
Giorno festivo,28 ottobre
Cartografia,Cartografia
Mello,Mello
Mello – MappaPosizione del comune di Mello nella provincia di Sondrio,Mello – MappaPosizione del comune di Mello nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
