Castione Andevenno comune,Castione Andevenno comune.1
,
Castione Andevenno – VedutaPanorama,Castione Andevenno – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Daniele Giana (lista civica Cresci Castione) dal 9-6-2024
Territorio,Territorio
Coordinate,46°10′N 9°48′E
Altitudine,468 m s.l.m.
Superficie,"17,03 km²"
Abitanti,1 570[1] (30-11-2025)
Densità,"92,19 ab./km²"
Frazioni,"Andevenno, Artigianale-Commerciale, Balzarro, Barboni, Boscaccia, Cà Bianca, Gatti, Grigioni, Guasto, Mangialdo, Margella, Moroni, Piatta, Pozzo, Rosette, Vendolo."
Comuni confinanti,"Albosaggia, Caiolo, Postalesio, Sondrio, Torre di Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,23012
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014015
Cod. catastale,C325
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 734 GG[3]"
Nome abitanti,castionesi (Castiunàtt in dialetto locale)
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Castione Andevenno,Castione Andevenno
Castione Andevenno – MappaPosizione del comune di Castione Andevenno nella provincia di Sondrio,Castione Andevenno – MappaPosizione del comune di Castione Andevenno nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
