Sernio comune,Sernio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Severino Guglielmo Bongiolatti (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°13′29.26″N 10°12′44.87″E
Altitudine,632 m s.l.m.
Superficie,"9,52 km²"
Abitanti,500[1] (30-11-2025)
Densità,"52,52 ab./km²"
Frazioni,Biolo - Valchiosa
Comuni confinanti,"Corteno Golgi (BS), Edolo (BS), Lovero, Tirano, Vervio"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014059
Cod. catastale,I636
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 078 GG[3]"
Nome abitanti,Serenaschi
Patrono,santi Cosma e Damiano
Giorno festivo,27 settembre
Cartografia,Cartografia
Sernio,Sernio
Sernio – MappaPosizione del comune di Sernio nella provincia di Sondrio,Sernio – MappaPosizione del comune di Sernio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
