Cedrasco comune,Cedrasco comune.1
,
Cedrasco – Veduta,Cedrasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Nello Oberti (lista civica) dal 7-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°09′N 9°46′E
Altitudine,287 m s.l.m.
Superficie,"14,42 km²"
Abitanti,422[1] (30-11-2025)
Densità,"29,26 ab./km²"
Comuni confinanti,"Berbenno di Valtellina, Caiolo, Foppolo (BG), Fusine, Postalesio"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014016
Cod. catastale,C418
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 066 GG[3]"
Nome abitanti,cedraschini
Cartografia,Cartografia
Cedrasco,Cedrasco
Cedrasco – MappaPosizione del comune di Cedrasco nella provincia di Sondrio,Cedrasco – MappaPosizione del comune di Cedrasco nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
