Mese comune,Mese comune.1
,
Mese – Veduta,Mese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Paolo Cipriani (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°18′N 9°23′E
Altitudine,274 m s.l.m.
Superficie,"4,15 km²"
Abitanti,1 892[1] (30-11-2025)
Densità,"455,9 ab./km²"
Comuni confinanti,"Chiavenna, Gordona, Prata Camportaccio, San Giacomo Filippo"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014043
Cod. catastale,F153
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 459 GG[3]"
Nome abitanti,mesiati
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Mese,Mese
Mese – MappaPosizione del comune di Mese nella provincia di Sondrio,Mese – MappaPosizione del comune di Mese nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
