Tovo di Sant'Agata comune,Tovo di Sant'Agata comune.1
,
Tovo di Sant'Agata – Veduta,Tovo di Sant'Agata – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Corrado Canali (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,46°13′55.11″N 10°15′49.76″E
Altitudine,531 m s.l.m.
Superficie,"11,15 km²"
Abitanti,611[1] (30-11-2025)
Densità,"54,8 ab./km²"
Comuni confinanti,"Edolo (BS), Lovero, Mazzo di Valtellina, Monno (BS), Vervio"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014068
Cod. catastale,L316
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 017 GG[3]"
Nome abitanti,tovaschi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Tovo di Sant'Agata,Tovo di Sant'Agata
Tovo di Sant'Agata – MappaPosizione del comune di Tovo di Sant'Agata nella provincia di Sondrio,Tovo di Sant'Agata – MappaPosizione del comune di Tovo di Sant'Agata nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
