Spriana comune,Spriana comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Ivo Del Maffeo (lista civica Spriana nel cuore) dal 22-9-2020
Territorio,Territorio
Coordinate,46°13′N 9°52′E
Altitudine,754 m s.l.m.
Superficie,"7,69 km²"
Abitanti,86[1] (30-11-2025)
Densità,"11,18 ab./km²"
Comuni confinanti,"Montagna in Valtellina, Sondrio, Torre di Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014062
Cod. catastale,I928
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 140 GG[3]"
Nome abitanti,sprianesi
Cartografia,Cartografia
Spriana,Spriana
Spriana – MappaPosizione del comune di Spriana nella provincia di Sondrio,Spriana – MappaPosizione del comune di Spriana nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
