Andalo Valtellino comune,Andalo Valtellino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Juri Girolo (lista civica Andalo futura) dal 25-5-2014 (3º mandato dal 9-6-2024)
Data di istituzione,1778
Territorio,Territorio
Coordinate,46°07′N 9°28′E
Altitudine,229 m s.l.m.
Superficie,"6,78 km²"
Abitanti,600[1] (30-11-2025)
Densità,"88,5 ab./km²"
Comuni confinanti,"Delebio, Dubino, Mantello, Rogolo"
Altre informazioni,Altre informazioni
Cod. postale,23009
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014003
Cod. catastale,A273
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 011 GG[3]"
Nome abitanti,andalesi
Patrono,Immacolata Concezione
Giorno festivo,8 dicembre
Cartografia,Cartografia
Andalo Valtellino,Andalo Valtellino
Andalo Valtellino – MappaPosizione del comune di Andalo Valtellino nella provincia di Sondrio,Andalo Valtellino – MappaPosizione del comune di Andalo Valtellino nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
