Chiesa in Valmalenco comune,Chiesa in Valmalenco comune.1
,
Chiesa in Valmalenco – VedutaChiesa in Valmalenco vista dall'alto,Chiesa in Valmalenco – VedutaChiesa in Valmalenco vista dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Renata Petrella (lista civica Chiesa in Valmalenco) dal 10-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,46°16′N 9°51′E
Altitudine,960 m s.l.m.
Superficie,"107,6 km²"
Abitanti,2 222[1] (30-11-2025)
Densità,"20,65 ab./km²"
Frazioni,"Chiareggio, Primolo, San Giuseppe"
Comuni confinanti,"Buglio in Monte, Caspoggio, Lanzada, Sils im Engadin/Segl (CH-GR), Bregaglia (CH-GR), Torre di Santa Maria, Val Masino"
Altre informazioni,Altre informazioni
Cod. postale,23023
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014019
Cod. catastale,C628
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 433 GG[3]"
Nome abitanti,chiesani
Cartografia,Cartografia
Chiesa in Valmalenco,Chiesa in Valmalenco
Chiesa in Valmalenco – MappaPosizione del comune di Chiesa in Valmalenco nella provincia di Sondrio,Chiesa in Valmalenco – MappaPosizione del comune di Chiesa in Valmalenco nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
