Mazzo di Valtellina comune,Mazzo di Valtellina comune.1
,
Mazzo di Valtellina – VedutaVista dalle alture soprastanti il paese,Mazzo di Valtellina – VedutaVista dalle alture soprastanti il paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Franco Matteo Saligari (Lista civica) dal 31-5-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,46°15′N 10°15′E
Altitudine,552 m s.l.m.
Superficie,"15,32 km²"
Abitanti,1 013[1] (30-11-2025)
Densità,"66,12 ab./km²"
Frazioni,"Cà del Papa, Cà Lunghe, Li Cà, Piazzola, Sparso, Vione"
Comuni confinanti,"Grosotto, Monno (BS), Tovo di Sant'Agata, Vervio"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014040
Cod. catastale,F070
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 032 GG[3]"
Nome abitanti,mazzolatti
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Mazzo di Valtellina,Mazzo di Valtellina
Mazzo di Valtellina – MappaPosizione del comune di Mazzo di Valtellina nella provincia di Sondrio,Mazzo di Valtellina – MappaPosizione del comune di Mazzo di Valtellina nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
