Talamona comune,Talamona comune.1
,
Talamona – Veduta,Talamona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Davide Menegola (lista civica) dal 20-09-2020
Territorio,Territorio
Coordinate,46°08′N 9°37′E
Altitudine,285 m s.l.m.
Superficie,"21,05 km²"
Abitanti,4 597[1] (30-11-2025)
Densità,"218,38 ab./km²"
Comuni confinanti,"Albaredo per San Marco, Ardenno, Dazio, Forcola, Morbegno, Tartano"
Altre informazioni,Altre informazioni
Cod. postale,23018
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014063
Cod. catastale,L035
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 064 GG[3]"
Nome abitanti,talamonesi
Patrono,santa Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Talamona,Talamona
Talamona – MappaPosizione del comune di Talamona nella provincia di Sondrio,Talamona – MappaPosizione del comune di Talamona nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
