Lanzada comune,Lanzada comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Marco Negrini (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,46°16′09.84″N 9°52′12.72″E
Altitudine,983 m s.l.m.
Superficie,"117,17 km²"
Abitanti,1 228[1] (30-11-2025)
Densità,"10,48 ab./km²"
Frazioni,"Ganda, Moizi, Tornadri, Vetto"
Comuni confinanti,"Caspoggio, Chiesa in Valmalenco, Chiuro, Montagna in Valtellina, Pontresina (CH-GR), Poschiavo (CH-GR), Samedan (CH-GR), Sils im Engadin/Segl (CH-GR)"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014036
Cod. catastale,E443
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 465 GG[3]"
Nome abitanti,lanzadesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Lanzada,Lanzada
Lanzada – MappaPosizione del comune di Lanzada nella provincia di Sondrio,Lanzada – MappaPosizione del comune di Lanzada nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
