Tartano comune,Tartano comune.1
,
Tartano – Veduta,Tartano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Osvaldo Bianchini (lista civia Uniti per la Valtartano) dal 12-6-2022
Data di istituzione,1816
Territorio,Territorio
Coordinate,46°07′N 9°41′E
Altitudine,1 210 m s.l.m.
Superficie,"47,27 km²"
Abitanti,198[1] (30-11-2025)
Densità,"4,19 ab./km²"
Frazioni,"Campo Tartano, Arale, Biorca, Campo, Cantùu, Castino, Cosaggio, Cost', Costa, Dosso dei Principi, Furfulèra, Gavazzi, Ronco, Rivina, Bormini, Dosso di Sopra, Dosso di Sotto, Piana, Pila, Pra de Ùles, Rondelli, Scesure, Sparavera-Sant'Antonio, Sciucada, Tegge, Valle, Case"
Comuni confinanti,"Albaredo per San Marco, Foppolo (BG), Forcola, Fusine, Mezzoldo (BG), Talamona, Valleve (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014064
Cod. catastale,L056
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 788 GG[3]"
Nome abitanti,tartanoli (tartanöi in dialetto)
Patrono,"san Barnaba,sant'Agostino"
Giorno festivo,11 giugno - 28 agosto
Cartografia,Cartografia
Tartano,Tartano
Tartano – MappaPosizione del comune di Tartano nella provincia di Sondrio,Tartano – MappaPosizione del comune di Tartano nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
