Cercino comune,Cercino comune.1
,
Cercino – Veduta,Cercino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Daniele De Pianto (lista civica di centro-destra Il bene comune) dal 20-9-2020
Territorio,Territorio
Coordinate,46°09′N 9°30′E
Altitudine,487 m s.l.m.
Superficie,"5,69 km²"
Abitanti,818[1] (30-04-2025)
Densità,"143,76 ab./km²"
Frazioni,"Belenasco, Barossedo, Era, Fiesso, Piano di Bolgia, Piussogno, Siro Località: Prati della Brusada,Cespedello"
Comuni confinanti,"Cino, Cosio Valtellino, Mantello, Novate Mezzola, Traona"
Altre informazioni,Altre informazioni
Cod. postale,23016
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014017
Cod. catastale,C493
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 761 GG[3]"
Nome abitanti,cercinesi
Patrono,San Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Cercino,Cercino
Cercino – MappaPosizione del comune di Cercino nella provincia di Sondrio,Cercino – MappaPosizione del comune di Cercino nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
