Novate Mezzola comune,Novate Mezzola comune.1
,
Novate Mezzola – Veduta,Novate Mezzola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Fausto Nonini (lista civica) dal 20-9-2020
Territorio,Territorio
Coordinate,46°13′N 9°27′E
Altitudine,212 m s.l.m.
Superficie,"99,75 km²"
Abitanti,1 925[1] (30-11-2025)
Densità,"19,3 ab./km²"
Frazioni,"Campo Mezzola, Codera"
Comuni confinanti,"Bregaglia (CH-GR), Cercino, Cino, Civo, Dubino, Mello, Piuro, Prata Camportaccio, Samolaco, Sorico (CO), Traona, Val Masino, Verceia, Villa di Chiavenna"
Altre informazioni,Altre informazioni
Cod. postale,23025
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014046
Cod. catastale,F956
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 371 GG[3]"
Nome abitanti,novatesi
Patrono,Santissima Trinità
Giorno festivo,prima domenica dopo Pasqua
Cartografia,Cartografia
Novate Mezzola,Novate Mezzola
Novate Mezzola – MappaPosizione del comune di Novate Mezzola nella provincia di Sondrio,Novate Mezzola – MappaPosizione del comune di Novate Mezzola nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
