Dazio comune,Dazio comune.1
,
Dazio – Veduta,Dazio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Antonio Cazzaniga (lista civica Continuiamo per Dazio) dal 15-5-2011 (3º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,46°09′40.64″N 9°36′02.3″E
Altitudine,568 m s.l.m.
Superficie,"3,73 km²"
Abitanti,521[1] (30-11-2025)
Densità,"139,68 ab./km²"
Comuni confinanti,"Ardenno, Civo, Morbegno, Talamona"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014025
Cod. catastale,D258
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 041 GG[3]"
Nome abitanti,daziesi
Patrono,San Provino Vescovo
Giorno festivo,8 marzo
Cartografia,Cartografia
Dazio,Dazio
Dazio – MappaPosizione del comune di Dazio nella provincia di Sondrio,Dazio – MappaPosizione del comune di Dazio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
