Teglio comune,Teglio comune.1
,
Teglio – Veduta,Teglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Ivan Filippini (lista civica Teglio Unita) dal 15-5-2023
Territorio,Territorio
Coordinate,46°10′N 10°04′E
Altitudine,851 m s.l.m.
Superficie,"115,32 km²"
Abitanti,4 672[1] (30-11-2025)
Densità,"40,51 ab./km²"
Frazioni,"Carona, Sant'Antonio, Vangione, San Giacomo, San Gervasio, San Giovanni, San Rocco, Somasassa, Cà Frigeri, Ligone, Prato Valentino Tresenda[2]"
Comuni confinanti,"Aprica, Bianzone, Brusio (CH-GR), Castello dell'Acqua, Chiuro, Corteno Golgi (BS), Paisco Loveno (BS), Ponte in Valtellina, Schilpario (BG), Valbondione (BG), Villa di Tirano, Vilminore di Scalve (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23036
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014065
Cod. catastale,L084
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 278 GG[4]"
Nome abitanti,tellini
Patrono,sant'Eufemia martire
Giorno festivo,16 settembre
Cartografia,Cartografia
Teglio,Teglio
Teglio – MappaPosizione del comune di Teglio nella provincia di Sondrio,Teglio – MappaPosizione del comune di Teglio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
