Faedo Valtellino comune,Faedo Valtellino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Giordano Caprari (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,46°09′N 9°54′E
Altitudine,557 m s.l.m.
Superficie,"4,8 km²"
Abitanti,510[1] (30-11-2025)
Densità,"106,25 ab./km²"
Comuni confinanti,"Albosaggia, Montagna in Valtellina, Piateda, Sondrio"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014028
Cod. catastale,D456
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 319 GG[3]"
Nome abitanti,faesoni
Patrono,san Carlo
Giorno festivo,4 novembre
Cartografia,Cartografia
Faedo Valtellino,Faedo Valtellino
Faedo Valtellino – MappaPosizione del comune di Faedo Valtellino nella provincia di Sondrio,Faedo Valtellino – MappaPosizione del comune di Faedo Valtellino nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
