Vervio comune,Vervio comune.1
,
Vervio – VedutaScorcio del borgo di Vervio,Vervio – VedutaScorcio del borgo di Vervio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Enrico Ciampini (lista civica) dal 18-06-2024
Territorio,Territorio
Coordinate,46°15′N 10°14′E
Altitudine,549 m s.l.m.
Superficie,"12,41 km²"
Abitanti,203[1] (30-11-2025)
Densità,"16,36 ab./km²"
Comuni confinanti,"Brusio (CH-GR), Grosotto, Lovero, Mazzo di Valtellina, Sernio, Tirano, Tovo di Sant'Agata"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014076
Cod. catastale,L799
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 030 GG[3]"
Nome abitanti,verviesi o vervatti[4]
Patrono,sant'Ilario di Poitiers
Cartografia,Cartografia
Vervio,Vervio
Vervio – MappaPosizione del comune di Vervio nella provincia di Sondrio,Vervio – MappaPosizione del comune di Vervio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
