Civo comune,Civo comune.1
,
Civo – VedutaCevo,Civo – VedutaCevo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Barbara Marchetti[1] (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,46°09′N 9°34′E
Altitudine,730 m s.l.m.
Superficie,"25,14 km²"
Abitanti,1 140[2] (30-11-2025)
Densità,"45,35 ab./km²"
Frazioni,"Acquamarcia, Bedoglio, Cadelpicco, Cadelsasso, Caspano, Cevo, Chempo, Civo Centro, Marsellenico, Naguarido, Poira, Ponte del Baffo, Ponte di Ganda, Rebustella San Biagio, Regolido, Roncaglia di Sopra, Roncaglia di Sotto, San Bello, Santa Croce, Selvapiana, Serone, Vallate[3]"
Comuni confinanti,"Ardenno, Dazio, Mello, Morbegno, Novate Mezzola, Traona, Val Masino"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014022
Cod. catastale,C785
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 091 GG[5]"
Nome abitanti,civesi
Patrono,Sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Civo,Civo
Civo – MappaPosizione del comune di Civo nella provincia di Sondrio,Civo – MappaPosizione del comune di Civo nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
