Castello dell'Acqua comune,Castello dell'Acqua comune.1
,
Castello dell'Acqua – Veduta,Castello dell'Acqua – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Andrea Pellerano (lista civica) dal 7-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°09′N 10°01′E
Altitudine,664 m s.l.m.
Superficie,"14,07 km²"
Abitanti,605[1] (30-11-2025)
Densità,43 ab./km²
Comuni confinanti,"Chiuro, Ponte in Valtellina, Teglio"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014014
Cod. catastale,C186
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 012 GG[3]"
Nome abitanti,"Marà (non ""castellani"")"
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Castello dell'Acqua,Castello dell'Acqua
Castello dell'Acqua – MappaPosizione del comune di Castello dell'Acqua nella provincia di Sondrio,Castello dell'Acqua – MappaPosizione del comune di Castello dell'Acqua nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
