Ponte in Valtellina comune,Ponte in Valtellina comune.1
,
Ponte in Valtellina – Veduta,Ponte in Valtellina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Franco Biscotti (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,46°11′N 9°59′E
Altitudine,486 m s.l.m.
Superficie,"67,73 km²"
Abitanti,2 217[1] (30-11-2025)
Densità,"32,73 ab./km²"
Frazioni,"Albareda, Arigna, Briotti, Carolo, Casacce, Gerna, Famlonga, Prestinè, Sazzo"
Comuni confinanti,"Castello dell'Acqua, Chiuro, Montagna in Valtellina, Piateda, Teglio, Tresivio, Valbondione (BG)"
Altre informazioni,Altre informazioni
Cod. postale,23026
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014052
Cod. catastale,G829
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 758 GG[3]"
Nome abitanti,pontaschi o trumbin
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Ponte in Valtellina,Ponte in Valtellina
"Ponte in Valtellina – MappaPosizione del comune di Ponte in Valtellina nella provincia di Sondrio, in Lombardia.","Ponte in Valtellina – MappaPosizione del comune di Ponte in Valtellina nella provincia di Sondrio, in Lombardia."
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
