Aprica comune,Aprica comune.1
,
Aprica – VedutaAprica innevata,Aprica – VedutaAprica innevata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Dario Corvi (lista civica Aprica al futuro) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,46°09′N 10°08′E
Altitudine,1 181 m s.l.m.
Superficie,"20,37 km²"
Abitanti,1 439[1] (30-11-2025)
Densità,"70,64 ab./km²"
Frazioni,"Liscedo, Liscidini, San Pietro, Santa Maria, Dosso, Mavigna[2]"
Comuni confinanti,"Corteno Golgi (BS), Teglio, Villa di Tirano"
Altre informazioni,Altre informazioni
Cod. postale,23031
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014004
Cod. catastale,A337
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 734 GG[4]"
Nome abitanti,aprichesi
Patrono,"SS. Pietro e Paolo, Maria SS.ma Assunta"
Giorno festivo,"29 giugno, 15 agosto"
Cartografia,Cartografia
Aprica,Aprica
Aprica – MappaPosizione del comune di Aprica nella provincia di Sondrio,Aprica – MappaPosizione del comune di Aprica nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
