Lovero comune,Lovero comune.1
Lovero – Veduta,Lovero – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Annamaria Saligari (lista civica) dal 7-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°14′N 10°14′E
Altitudine,515 m s.l.m.
Superficie,"13,46 km²"
Abitanti,607[1] (30-11-2025)
Densità,"45,1 ab./km²"
Comuni confinanti,"Edolo (BS), Sernio, Tovo di Sant'Agata, Vervio"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014038
Cod. catastale,E705
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 011 GG[3]"
Nome abitanti,loverini (luarin in dialetto valtellinese)
Patrono,sant'Alessandro
Giorno festivo,26 agosto
Cartografia,Cartografia
Lovero,Lovero
Lovero – MappaPosizione del comune di Lovero nella provincia di Sondrio,Lovero – MappaPosizione del comune di Lovero nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
