Bema comune,Bema comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Marco Sutti (lista civica Per Bema) dal 10-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,46°04′43.56″N 9°35′21.12″E
Altitudine,800 m s.l.m.
Superficie,"19,22 km²"
Abitanti,115[1] (30-11-2025)
Densità,"5,98 ab./km²"
Comuni confinanti,"Albaredo per San Marco, Averara (BG), Cosio Valtellino, Gerola Alta, Morbegno, Pedesina, Rasura"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014006
Cod. catastale,A777
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 206 GG[3]"
Nome abitanti,bemini
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Bema,Bema
Bema – MappaPosizione del comune di Bema nella provincia di Sondrio,Bema – MappaPosizione del comune di Bema nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
