Chiuro comune,Chiuro comune.1
,
Chiuro – VedutaPanorama dalla Torre di Roncisvalle,Chiuro – VedutaPanorama dalla Torre di Roncisvalle
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Tiziano Maffezzini (lista civica) dal 7-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°10′14.96″N 9°59′21.68″E
Altitudine,389 m s.l.m.
Superficie,"51,76 km²"
Abitanti,2 438[1] (30-11-2025)
Densità,"47,1 ab./km²"
Frazioni,"Casacce, Castionetto"
Comuni confinanti,"Brusio (CH-GR), Castello dell'Acqua, Lanzada, Montagna in Valtellina, Ponte in Valtellina, Poschiavo (CH-GR), Teglio"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014020
Cod. catastale,C651
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 873 GG[3]"
Nome abitanti,"chiuresi, chiuraschi, maiarani."
Patrono,san Giacomo e sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Chiuro,Chiuro
Chiuro – MappaPosizione del comune di Chiuro nella provincia di Sondrio,Chiuro – MappaPosizione del comune di Chiuro nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
