Madesimo comune,Madesimo comune.1
,
Madesimo – Veduta,Madesimo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Daniela Pilatti (lista civica Insieme per Madesimo) dal 20-9-2020
Data di istituzione,12 febbraio 1816
Territorio,Territorio
Coordinate,46°25′41.36″N 9°20′37.94″E
Altitudine,1 550 m s.l.m.
Superficie,"85,66 km²"
Abitanti,504[1] (30-11-2025)
Densità,"5,88 ab./km²"
Frazioni,"Isola, Montespluga, Pianazzo"
Comuni confinanti,"Campodolcino, Ferrera (CH-GR), Mesocco (CH-GR), Piuro, Rheinwald (CH-GR), Sufers (CH-GR)"
Altre informazioni,Altre informazioni
Cod. postale,23024
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014035
Cod. catastale,E342
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 056 GG[3]"
Nome abitanti,madesimini
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Madesimo,Madesimo
Madesimo – MappaPosizione del comune di Madesimo nella provincia di Sondrio,Madesimo – MappaPosizione del comune di Madesimo nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
