Bormio comune,Bormio comune.1
,
Bormio – Veduta,Bormio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Silvia Cavazzi (lista civica Bormio 5.0) dal 4-10-2021
Territorio,Territorio
Coordinate,46°28′09.29″N 10°22′19.82″E
Altitudine,1 225 m s.l.m.
Superficie,"41,44 km²"
Abitanti,3 900[1] (30-11-2025)
Densità,"94,11 ab./km²"
Frazioni,nessuna[2]; vedi elenco reparti
Comuni confinanti,"Stelvio (BZ), Val Müstair (CH-GR), Valdidentro, Valdisotto, Valfurva"
Altre informazioni,Altre informazioni
Cod. postale,23032
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014009
Cod. catastale,B049
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 838 GG[4]"
Nome abitanti,bormini
Patrono,santi Gervasio e Protasio
Giorno festivo,19 giugno
Cartografia,Cartografia
Bormio,Bormio
Bormio – MappaPosizione del comune di Bormio nella provincia di Sondrio,Bormio – MappaPosizione del comune di Bormio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
