Prata Camportaccio comune,Prata Camportaccio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Antonio Venezia (lista civica Amministrare insieme) dal 9-6-2024
Territorio,Territorio
Coordinate,46°17′12.47″N 9°25′37.64″E
Altitudine,352 m s.l.m.
Superficie,"27,94[1] km²"
Abitanti,2 939[2] (30-11-2025)
Densità,"105,19 ab./km²"
Frazioni,"San Cassiano, Porrettina, Pizzo, Tanno, Malaguardia"
Comuni confinanti,"Chiavenna, Gordona, Mese, Novate Mezzola, Piuro, Samolaco"
Altre informazioni,Altre informazioni
Cod. postale,23020
Prefisso,0343
Fuso orario,UTC+1
Codice ISTAT,014054
Cod. catastale,G993
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 453 GG[4]"
Nome abitanti,pratesi
Patrono,Sant'Eusebio di Vercelli
Giorno festivo,2 agosto
Cartografia,Cartografia
Prata Camportaccio,Prata Camportaccio
Prata Camportaccio – MappaPosizione del comune di Prata Camportaccio nella provincia di Sondrio,Prata Camportaccio – MappaPosizione del comune di Prata Camportaccio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
