Berbenno di Valtellina comune,Berbenno di Valtellina comune.1
,
Berbenno di Valtellina – VedutaVista del centro abitato con la Chiesa arcipretale di S. Maria Assunta,Berbenno di Valtellina – VedutaVista del centro abitato con la Chiesa arcipretale di S. Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Valerio Fumasoni (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,46°10′N 9°45′E
Altitudine,370 m s.l.m.
Superficie,"35,6 km²"
Abitanti,4 058[1] (30-11-2025)
Densità,"113,99 ab./km²"
Frazioni,"Sina, Foppa, Maroggia, Monastero, Pedemonte, Piasci, Polaggia, Pra Balzar, Prati Gaggio, Prato Maslino, Dusone, Regoledo, San Pietro"
Comuni confinanti,"Buglio in Monte, Cedrasco, Colorina, Fusine, Postalesio"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014007
Cod. catastale,A787
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 844 GG[3]"
Nome abitanti,"berbennaschi, polaggini, san pietrini."
Patrono,"Santa Maria Assunta (compatroni e santi di frazione: San Giuseppe, San Bartolomeo, Sant'Abbondio, san Pietro, san Benigno"
Giorno festivo,"15 agosto, 12 febbraio"
Cartografia,Cartografia
Berbenno di Valtellina,Berbenno di Valtellina
Berbenno di Valtellina – MappaPosizione del comune di Berbenno di Valtellina nella provincia di Sondrio,Berbenno di Valtellina – MappaPosizione del comune di Berbenno di Valtellina nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
