Delebio comune,Delebio comune.1
,
Delebio – Veduta,Delebio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Marco Ioli (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,46°08′N 9°28′E
Altitudine,218 m s.l.m.
Superficie,"22,44 km²"
Abitanti,3 365[1] (30-11-2025)
Densità,"149,96 ab./km²"
Comuni confinanti,"Andalo Valtellino, Colico (LC), Dubino, Pagnona (LC), Piantedo, Premana (LC), Rogolo"
Altre informazioni,Altre informazioni
Cod. postale,23014
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014026
Cod. catastale,D266
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 001 GG[3]"
Nome abitanti,delebiesi
Patrono,san Carpoforo
Giorno festivo,7 agosto
Cartografia,Cartografia
Delebio,Delebio
Delebio – MappaPosizione del comune di Delebio nella provincia di Sondrio,Delebio – MappaPosizione del comune di Delebio nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
