Rogolo comune,Rogolo comune.1
,
Rogolo – Veduta,Rogolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Roberta Dugoni (Lista civica Siamo Rogolo) dal 9-6-2024
Data di istituzione,1616
Territorio,Territorio
Coordinate,46°08′08″N 9°29′14″E
Altitudine,216 m s.l.m.
Superficie,"12,83 km²"
Abitanti,577[1] (30-11-2025)
Densità,"44,97 ab./km²"
Frazioni,"Cassini, Erdona, Erla, Fistolera, Erdona. Località: Bressana"
Comuni confinanti,"Andalo Valtellino, Cosio Valtellino, Delebio, Mantello, Pedesina, Premana (LC), Rasura"
Altre informazioni,Altre informazioni
Cod. postale,23010
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014056
Cod. catastale,H493
Targa,SO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 002 GG[3]"
Nome abitanti,rogolesi
Patrono,sant'Abbondio
Cartografia,Cartografia
Rogolo,Rogolo
Rogolo – MappaPosizione del comune di Rogolo nella provincia di Sondrio,Rogolo – MappaPosizione del comune di Rogolo nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
