Villa di Tirano comune,Villa di Tirano comune.1
,
Villa di Tirano – Veduta,Villa di Tirano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Sondrio
Amministrazione,Amministrazione
Sindaco,Franco Marantelli Colombin (lista civica Stella alpina) dal 6-6-2016
Territorio,Territorio
Coordinate,46°12′N 10°08′E
Altitudine,406 m s.l.m.
Superficie,"24,74 km²"
Abitanti,3 012[1] (30-11-2025)
Densità,"121,75 ab./km²"
Frazioni,"Motta, Stazzona[2]"
Comuni confinanti,"Aprica, Bianzone, Brusio (CH-GR), Corteno Golgi (BS), Teglio, Tirano"
Altre informazioni,Altre informazioni
Cod. postale,23030
Prefisso,0342
Fuso orario,UTC+1
Codice ISTAT,014078
Cod. catastale,L908
Targa,SO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 646 GG[4]"
Nome abitanti,villaschi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Villa di Tirano,Villa di Tirano
Villa di Tirano – MappaPosizione del comune di Villa di Tirano nella provincia di Sondrio,Villa di Tirano – MappaPosizione del comune di Villa di Tirano nella provincia di Sondrio
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
