Montaguto comune,Montaguto comune.1
,
Montaguto – Veduta,Montaguto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Marcello Zecchino (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,41°14′59″N 15°14′57″E
Altitudine,730 m s.l.m.
Superficie,"18,38 km²"
Abitanti,334[1] (30-11-2025)
Densità,"18,17 ab./km²"
Comuni confinanti,"Greci, Orsara di Puglia (FG), Panni (FG), Savignano Irpino"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064051
Cod. catastale,F397
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 363 GG[3]"
Nome abitanti,montagutesi
Patrono,san Crescenzo di Tivoli
Giorno festivo,13 agosto
Cartografia,Cartografia
Montaguto,Montaguto
Montaguto – MappaPosizione del comune all'interno della provincia di Avellino,Montaguto – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
