Contrada comune,Contrada comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Pasquale De Santis (lista civica Insieme per Contrada) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°52′01″N 14°46′47″E
Altitudine,420 m s.l.m.
Superficie,"10,31 km²"
Abitanti,3 089[1] (30-11-2025)
Densità,"299,61 ab./km²"
Comuni confinanti,"Aiello del Sabato, Avellino, Forino, Monteforte Irpino, Montoro, Solofra"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064029
Cod. catastale,C971
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 919 GG[3]"
Nome abitanti,contradesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Contrada,Contrada
Contrada – MappaIl comune di Contrada all'interno della provincia di Avellino,Contrada – MappaIl comune di Contrada all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
