Calabritto comune,Calabritto comune.1
,
Calabritto – Veduta,Calabritto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Gelsomino Centanni (lista civica) dal 16-5-2011 (3º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,40°47′00″N 15°13′29″E
Altitudine,480 m s.l.m.
Superficie,"56,33 km²"
Abitanti,2 104[1] (30-11-2025)
Densità,"37,35 ab./km²"
Frazioni,Quaglietta
Comuni confinanti,"Acerno (SA), Bagnoli Irpino, Caposele, Lioni, Senerchia, Valva (SA)"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064014
Cod. catastale,B374
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 806 GG[3]"
Nome abitanti,calabrittani
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Calabritto,Calabritto
Calabritto – MappaIl comune di Calabritto all'interno della provincia di Avellino,Calabritto – MappaIl comune di Calabritto all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
