Cassano Irpino comune,Cassano Irpino comune.1
,
Cassano Irpino – Veduta,Cassano Irpino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Salvatore Vecchia (Lega) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°52′17″N 15°01′36″E
Altitudine,510 m s.l.m.
Superficie,"13,07 km²"
Abitanti,964[1] (30-11-2025)
Densità,"73,76 ab./km²"
Comuni confinanti,"Montella, Montemarano, Nusco"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064021
Cod. catastale,B997
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 010 GG[3]"
Nome abitanti,cassanesi
Patrono,san Bartolomeo apostolo
Giorno festivo,25 agosto
Cartografia,Cartografia
Cassano Irpino,Cassano Irpino
Cassano Irpino – MappaIl comune di Cassano Irpino all'interno della provincia di Avellino,Cassano Irpino – MappaIl comune di Cassano Irpino all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
