Nusco comune,Nusco comune.1
,
Nusco – Veduta,Nusco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Antonio Iuliano (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,40°53′13″N 15°05′02″E
Altitudine,914 m s.l.m.
Superficie,"53,6 km²"
Abitanti,3 783[1] (30-11-2025)
Densità,"70,58 ab./km²"
Frazioni,Ponteromito
Comuni confinanti,"Bagnoli Irpino, Cassano Irpino, Castelfranci, Lioni, Montella, Montemarano, Sant'Angelo dei Lombardi, Torella dei Lombardi"
Altre informazioni,Altre informazioni
Cod. postale,83051
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064066
Cod. catastale,F988
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 695 GG[3]"
Nome abitanti,nuscani
Patrono,sant'Amato da Nusco
Giorno festivo,28 maggio e 30 settembre
Cartografia,Cartografia
Nusco,Nusco
Nusco – MappaPosizione del comune all'interno della provincia di Avellino,Nusco – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
