Vallesaccarda comune,Vallesaccarda comune.1
,
Vallesaccarda – Veduta,Vallesaccarda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Franco Archidiacono (lista civica Liberamente) dal 26-5-2014 (2º mandato dal 27-5-2019)
Data di istituzione,28 maggio 1958
Territorio,Territorio
Coordinate,41°04′N 15°15′E
Altitudine,650 m s.l.m.
Superficie,"14,13 km²"
Abitanti,1 197[1] (30-11-2025)
Densità,"84,71 ab./km²"
Frazioni,"Coccaro, Mattine, San Giuseppe, Serro D'annunzio, Cotugno, Vasoria, San Lorenzo"
Comuni confinanti,"Anzano di Puglia (FG), San Sossio Baronia, Scampitella, Trevico"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064115
Cod. catastale,L616
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 362 GG[3]"
Nome abitanti,vallesaccardesi
Patrono,Maria SS Immacolata
Giorno festivo,8 agosto
Cartografia,Cartografia
Vallesaccarda,Vallesaccarda
Vallesaccarda – MappaIl comune di Vallesaccarda all'interno della provincia di Avellino,Vallesaccarda – MappaIl comune di Vallesaccarda all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
