Montemiletto comune,Montemiletto comune.1
,
Montemiletto – VedutaIl castello di Montemiletto in una foto dei primi del Novecento,Montemiletto – VedutaIl castello di Montemiletto in una foto dei primi del Novecento
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Massimiliano Minichiello[1] (lista civica Proposta concreta) dal 27-5-2019
Territorio,Territorio
Coordinate,41°01′N 14°54′E
Altitudine,600 m s.l.m.
Superficie,"21,64 km²"
Abitanti,5 008[2] (30-11-2025)
Densità,"231,42 ab./km²"
Frazioni,Montaperto
Comuni confinanti,"Lapio, Montefalcione, Montefusco, Pietradefusi, Prata di Principato Ultra, Pratola Serra, Santa Paolina, Taurasi, Torre Le Nocelle"
Altre informazioni,Altre informazioni
Cod. postale,83038
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064059
Cod. catastale,F566
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 158 GG[4]"
Nome abitanti,montemilettesi
Patrono,san Gaetano
Giorno festivo,7 agosto
Cartografia,Cartografia
Montemiletto,Montemiletto
Montemiletto – MappaPosizione del comune all'interno della provincia di Avellino,Montemiletto – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
