Torre Le Nocelle comune,Torre Le Nocelle comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Antonio Cardillo (lista civica) dal 15-4-2008
Territorio,Territorio
Coordinate,41°01′49.92″N 14°55′06.51″E
Altitudine,420 m s.l.m.
Superficie,"10,04 km²"
Abitanti,1 218[1] (30-11-2025)
Densità,"121,31 ab./km²"
Comuni confinanti,"Mirabella Eclano, Montemiletto, Pietradefusi, Taurasi, Venticano"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064110
Cod. catastale,L272
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 803 GG[3]"
Nome abitanti,torresi
Patrono,"san Ciriaco, diacono e martire"
Giorno festivo,16 marzo e 8 agosto
Cartografia,Cartografia
Torre Le Nocelle,Torre Le Nocelle
Torre Le Nocelle – Mappa,Torre Le Nocelle – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
