Pietradefusi comune,Pietradefusi comune.1
,
Pietradefusi – VedutaIl municipio,Pietradefusi – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Gaetano Musto (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,41°03′N 14°53′E
Altitudine,400 m s.l.m.
Superficie,"9,24 km²"
Abitanti,1 913[1] (30-11-2025)
Densità,"207,03 ab./km²"
Frazioni,"Dentecane, Pappaceci, Pietra, Sant'Angelo a Cancelli, Sant'Elena Irpina, Vertecchia[2]"
Comuni confinanti,"Calvi (BN), Montefusco, Montemiletto, San Nazzaro (BN), Torre Le Nocelle, Venticano"
Altre informazioni,Altre informazioni
Cod. postale,83030
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064072
Cod. catastale,G611
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 938 GG[4]"
Nome abitanti,"pietradefusani, pietrafusani"
Patrono,santi Faustino e Giovita
Giorno festivo,15 febbraio
PIL procapite,"(nominale) 16.530,00 €"
Cartografia,Cartografia
Pietradefusi,Pietradefusi
Pietradefusi – MappaPosizione del comune all'interno della provincia di Avellino,Pietradefusi – MappaPosizione del comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
