Sant'Angelo all'Esca comune,Sant'Angelo all'Esca comune.1
,
Sant'Angelo all'Esca – Veduta,Sant'Angelo all'Esca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Attilio Iannuzzo (lista civica Libera unione) dal giugno 2016
Territorio,Territorio
Coordinate,41°00′27.54″N 14°59′39.36″E
Altitudine,460 m s.l.m.
Superficie,"5,46 km²"
Abitanti,688[1] (30-11-2025)
Densità,"126,01 ab./km²"
Comuni confinanti,"Fontanarosa, Luogosano, Mirabella Eclano, Taurasi"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064090
Cod. catastale,I279
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 856 GG[3]"
Nome abitanti,santangiolesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio e 29 settembre
Cartografia,Cartografia
Sant'Angelo all'Esca,Sant'Angelo all'Esca
Sant'Angelo all'Esca – MappaIl comune di Sant'Angelo all'Esca all'interno della provincia di Avellino,Sant'Angelo all'Esca – MappaIl comune di Sant'Angelo all'Esca all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
