Capriglia Irpina comune,Capriglia Irpina comune.1
,
Capriglia Irpina – Veduta,Capriglia Irpina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Nunziante Picariello (lista civica Capriglia bene comune) dal 7-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°57′41″N 14°46′41″E
Altitudine,575 m s.l.m.
Superficie,"7,49 km²"
Abitanti,2 181[1] (30-11-2025)
Densità,"291,19 ab./km²"
Frazioni,"Breccelle I, Breccelle II, Casale,Marzano, Pozzo del Sale, San Felice, Spinielli,Cioppolo."
Comuni confinanti,"Avellino, Grottolella, Sant'Angelo a Scala, Summonte"
Altre informazioni,Altre informazioni
Cod. postale,83010
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064018
Cod. catastale,B706
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 080 GG[3]"
Nome abitanti,caprigliesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Capriglia Irpina,Capriglia Irpina
Capriglia Irpina – MappaIl comune di Capriglia Irpina all'interno della provincia di Avellino,Capriglia Irpina – MappaIl comune di Capriglia Irpina all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
