Luogosano comune,Luogosano comune.1
,
Luogosano – Veduta,Luogosano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Carmine Ferrante (lista civica Luogosano è bene comune) dal 22-9-2020
Territorio,Territorio
Coordinate,40°59′18″N 14°59′30″E
Altitudine,390 m s.l.m.
Superficie,"6,07 km²"
Abitanti,1 057[1] (30-11-2025)
Densità,"174,14 ab./km²"
Comuni confinanti,"Fontanarosa, Lapio, Paternopoli, San Mango sul Calore, Sant'Angelo all'Esca, Taurasi"
Altre informazioni,Altre informazioni
Cod. postale,83040
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064045
Cod. catastale,E746
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 913 GG[3]"
Nome abitanti,luogosanesi
Patrono,san Marcellino
Giorno festivo,"2 giugno,11/12/13 agosto, 7/8 dicembre"
Cartografia,Cartografia
Luogosano,Luogosano
Luogosano – MappaIl comune di Luogosano all'interno della provincia di Avellino,Luogosano – MappaIl comune di Luogosano all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
