Sorbo Serpico comune,Sorbo Serpico comune.1
,
Sorbo Serpico – VedutaPanorama di Sorbo Serpico con Salza Irpina,Sorbo Serpico – VedutaPanorama di Sorbo Serpico con Salza Irpina
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Maria Teresa Fontanella (lista civica) dal 31-5-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,40°55′N 14°53′E
Altitudine,480 m s.l.m.
Superficie,"8,1 km²"
Abitanti,511[1] (30-11-2025)
Densità,"63,09 ab./km²"
Comuni confinanti,"Atripalda, Salza Irpina, San Potito Ultra, Santo Stefano del Sole, Volturara Irpina"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064102
Cod. catastale,I843
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 894 GG[3]"
Nome abitanti,sorbesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Sorbo Serpico,Sorbo Serpico
Sorbo Serpico – MappaIl comune di Sorbo Serpico all'interno della provincia di Avellino,Sorbo Serpico – MappaIl comune di Sorbo Serpico all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
