Montecalvo Irpino comune,Montecalvo Irpino comune.1
,
Montecalvo Irpino – Veduta,Montecalvo Irpino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Mirko Iorillo (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,41°11′48″N 15°02′03″E
Altitudine,623 m s.l.m.
Superficie,"54,01 km²"
Abitanti,3 222[1] (30-11-2025)
Densità,"59,66 ab./km²"
Frazioni,"Corsano, Malvizza"
Comuni confinanti,"Apice (BN), Ariano Irpino, Buonalbergo (BN), Casalbore, Castelfranco in Miscano (BN), Ginestra degli Schiavoni (BN)"
Altre informazioni,Altre informazioni
Cod. postale,83037
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064052
Cod. catastale,F448
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 214 GG[3]"
Nome abitanti,montecalvesi
Patrono,san Felice
Giorno festivo,30 agosto
Cartografia,Cartografia
Montecalvo Irpino,Montecalvo Irpino
Montecalvo Irpino – MappaIl comune di Montecalvo Irpino all'interno della provincia di Avellino,Montecalvo Irpino – MappaIl comune di Montecalvo Irpino all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
