Altavilla Irpina comune,Altavilla Irpina comune.1
,
Altavilla Irpina – Veduta,Altavilla Irpina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Mario Vanni (lista civica Liberi per Altavilla) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°00′29″N 14°46′56″E
Altitudine,334 m s.l.m.
Superficie,"14,08 km²"
Abitanti,3 813[1] (30-11-2025)
Densità,"270,81 ab./km²"
Frazioni,Nessuna
Comuni confinanti,"Arpaise (BN), Ceppaloni (BN), Chianche, Grottolella, Petruro Irpino, Pietrastornina, Prata di Principato Ultra, Sant'Angelo a Scala, Tufo"
Altre informazioni,Altre informazioni
Cod. postale,83011
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064002
Cod. catastale,A228
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 780 GG[3]"
Nome abitanti,altavillesi
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Altavilla Irpina,Altavilla Irpina
Altavilla Irpina – MappaIl comune di Altavilla Irpina all'interno della provincia di Avellino,Altavilla Irpina – MappaIl comune di Altavilla Irpina all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
