Quadrelle comune,Quadrelle comune.1
,
Quadrelle – Vedutapanorama,Quadrelle – Vedutapanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Simone Rozza (lista civica Quadrelle civica) dal 22-9-2020
Territorio,Territorio
Coordinate,40°56′49.92″N 14°38′17.52″E
Altitudine,300 m s.l.m.
Superficie,"6,93 km²"
Abitanti,1 867[1] (30-11-2025)
Densità,"269,41 ab./km²"
Comuni confinanti,"Mercogliano, Mugnano del Cardinale, Sirignano, Summonte"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064076
Cod. catastale,H097
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 624 GG[3]"
Nome abitanti,quadrellesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Quadrelle,Quadrelle
Quadrelle – MappaIl comune di Quadrelle all'interno della provincia di Avellino,Quadrelle – MappaIl comune di Quadrelle all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
