Taurano comune,Taurano comune.1
,
Taurano – Veduta,Taurano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Michele Buonfiglio (lista civica Uniti Verso il Futuro) dall'8-06-2024
Territorio,Territorio
Coordinate,40°53′N 14°38′E
Altitudine,300 m s.l.m.
Superficie,"9,77 km²"
Abitanti,1 408[1] (30-11-2025)
Densità,"144,11 ab./km²"
Comuni confinanti,"Lauro, Monteforte Irpino, Moschiano, Pago del Vallo di Lauro, Visciano (NA)"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064106
Cod. catastale,L061
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 537 GG[3]"
Nome abitanti,tauranesi
Patrono,Maria SS. Assunta in Cielo
Giorno festivo,15 agosto
Cartografia,Cartografia
Taurano,Taurano
Taurano – MappaIl comune di Taurano all'interno della provincia di Avellino,Taurano – MappaIl comune di Taurano all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
