Scampitella comune,Scampitella comune.1
,
Scampitella – VedutaVeduta invernale di Piazza Libertà,Scampitella – VedutaVeduta invernale di Piazza Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Vincenza Cassese (lista civica) dal 4-10-2021
Data di istituzione,28 aprile 1948
Territorio,Territorio
Coordinate,41°05′19.2″N 15°19′16.96″E
Altitudine,775 m s.l.m.
Superficie,"15,11 km²"
Abitanti,984[1] (30-11-2025)
Densità,"65,12 ab./km²"
Comuni confinanti,"Anzano di Puglia (FG), Bisaccia, Lacedonia, Sant'Agata di Puglia (FG), Trevico, Vallata, Vallesaccarda"
Altre informazioni,Altre informazioni
Cod. postale,83050
Prefisso,0827
Fuso orario,UTC+1
Codice ISTAT,064097
Cod. catastale,I493
Targa,AV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 545 GG[3]"
Nome abitanti,scampitellesi
Patrono,san Michele Arcangelo
Giorno festivo,9 maggio
Cartografia,Cartografia
Scampitella,Scampitella
Scampitella – MappaIl comune di Scampitella all'interno della provincia di Avellino,Scampitella – MappaIl comune di Scampitella all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
