Forino comune,Forino comune.1
,
Forino – Veduta,Forino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Antonio Olivieri (lista civica Per Forino sempre) dal 4-10-2021
Territorio,Territorio
Coordinate,40°51′49″N 14°44′13″E
Altitudine,420 m s.l.m.
Superficie,"20,39 km²"
Abitanti,5 224[1] (30-11-2025)
Densità,"256,2 ab./km²"
Frazioni,"Castello, Celzi, Petruro"
Comuni confinanti,"Bracigliano (SA), Contrada, Monteforte Irpino, Montoro, Moschiano, Quindici"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064034
Cod. catastale,D701
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 919 GG[3]"
Nome abitanti,forinesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Motto,Florida Fortitvdo
Cartografia,Cartografia
Forino,Forino
Forino – MappaIl comune all'interno della provincia di Avellino,Forino – MappaIl comune all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
