Pietrastornina comune,Pietrastornina comune.1
,
Pietrastornina – VedutaLa Guglia Rocciosa di Pietrastornina,Pietrastornina – VedutaLa Guglia Rocciosa di Pietrastornina
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Amato Rizzo (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,41°00′N 14°44′E
Altitudine,513 m s.l.m.
Superficie,"15,73 km²"
Abitanti,1 458[1] (30-11-2025)
Densità,"92,69 ab./km²"
Comuni confinanti,"Altavilla Irpina, Arpaise (BN), Pannarano (BN), Roccabascerana, Sant'Angelo a Scala, Summonte"
Altre informazioni,Altre informazioni
Cod. postale,83015
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064073
Cod. catastale,G629
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 148 GG[3]"
Nome abitanti,pietrastorninesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Pietrastornina,Pietrastornina
Pietrastornina – MappaIl comune di Pietrastornina all'interno della provincia di Avellino,Pietrastornina – MappaIl comune di Pietrastornina all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
