Ospedaletto d'Alpinolo comune,Ospedaletto d'Alpinolo comune.1
,
Ospedaletto d'Alpinolo – VedutaPanorama dal santuario di Montevergine,Ospedaletto d'Alpinolo – VedutaPanorama dal santuario di Montevergine
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Luigi Marciano
Territorio,Territorio
Coordinate,40°56′N 14°45′E
Altitudine,725 m s.l.m.
Superficie,"5,68 km²"
Abitanti,1 957[1] (30-11-2025)
Densità,"344,54 ab./km²"
Frazioni,"Area P.i.p., Casale"
Comuni confinanti,"Avellino, Mercogliano, Summonte"
Altre informazioni,Altre informazioni
Cod. postale,83014
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064067
Cod. catastale,G165
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 401 GG[3]"
Nome abitanti,ospedalettesi
Patrono,santi Filippo e Giacomo
Giorno festivo,3 maggio
Cartografia,Cartografia
Ospedaletto d'Alpinolo,Ospedaletto d'Alpinolo
Ospedaletto d'Alpinolo – MappaIl comune di Ospedaletto d'Alpinolo all'interno della provincia di Avellino,Ospedaletto d'Alpinolo – MappaIl comune di Ospedaletto d'Alpinolo all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
