Quindici comune,Quindici comune.1
,
Quindici – Veduta,Quindici – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,"Vincenzo Lubrano, Sabrina D’Angeli, Alessandra Pascarella (commissione straordinaria) dal 27-3-2024"
Territorio,Territorio
Coordinate,40°52′N 14°39′E
Altitudine,247 m s.l.m.
Superficie,"23,91 km²"
Abitanti,1 757[1] (30-11-2025)
Densità,"73,48 ab./km²"
Frazioni,"Beato, Bosagro"
Comuni confinanti,"Bracigliano (SA), Forino, Lauro, Moschiano, Sarno (SA), Siano (SA)"
Altre informazioni,Altre informazioni
Cod. postale,83020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,064077
Cod. catastale,H128
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 436 GG[3]"
Nome abitanti,quindicesi
Patrono,Maria SS. delle Grazie
Giorno festivo,8 settembre
Cartografia,Cartografia
Quindici,Quindici
Quindici – MappaIl comune di Quindici all'interno della provincia di Avellino,Quindici – MappaIl comune di Quindici all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
