Atripalda comune,Atripalda comune.1
,
Atripalda – VedutaPiazza Umberto I,Atripalda – VedutaPiazza Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Avellino
Amministrazione,Amministrazione
Sindaco,Paolo Spagnuolo (lista civica Attiva Atripalda) dal 13-6-2022
Territorio,Territorio
Coordinate,40°55′00″N 14°49′32″E
Altitudine,294 m s.l.m.
Superficie,"8,59 km²"
Abitanti,10 184[1] (30-11-2025)
Densità,"1 185,56 ab./km²"
Frazioni,"Alvanite, San Vincenzo"
Comuni confinanti,"Aiello del Sabato, Avellino, Cesinali, Manocalzati, San Potito Ultra, Santo Stefano del Sole, Sorbo Serpico"
Altre informazioni,Altre informazioni
Cod. postale,83042
Prefisso,0825
Fuso orario,UTC+1
Codice ISTAT,064006
Cod. catastale,A489
Targa,AV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 609 GG[3]"
Nome abitanti,atripaldesi
Patrono,san Sabino di Avellino
Giorno festivo,16 settembre
Cartografia,Cartografia
Atripalda,Atripalda
Atripalda – MappaIl comune di Atripalda all'interno della provincia di Avellino,Atripalda – MappaIl comune di Atripalda all'interno della provincia di Avellino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
